geo_point_2d;geo_shape;nom_dept;nom_com;insee_com;nom_station;code_station;typologie;influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;code_epci
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.2;µg/m3;horaire;2021-11-22T02:00:00+01:00;2021-11-22T02:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.2;µg/m3;horaire;2021-11-22T04:00:00+01:00;2021-11-22T04:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.2;µg/m3;horaire;2021-11-22T06:00:00+01:00;2021-11-22T06:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.2;µg/m3;horaire;2021-11-22T20:00:00+01:00;2021-11-22T20:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.2;µg/m3;horaire;2021-11-22T23:00:00+01:00;2021-11-22T23:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.2;µg/m3;horaire;2021-11-21T06:00:00+01:00;2021-11-21T06:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.2;µg/m3;horaire;2021-11-22T05:00:00+01:00;2021-11-22T05:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.3;µg/m3;horaire;2021-11-23T03:00:00+01:00;2021-11-23T03:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.3;µg/m3;horaire;2021-11-22T17:00:00+01:00;2021-11-22T17:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.3;µg/m3;horaire;2021-11-23T19:00:00+01:00;2021-11-23T19:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.3;µg/m3;horaire;2021-11-23T20:00:00+01:00;2021-11-23T20:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.3;µg/m3;horaire;2021-11-22T00:00:00+01:00;2021-11-22T00:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.3;µg/m3;horaire;2021-11-23T06:00:00+01:00;2021-11-23T06:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2021-11-24T06:00:00+01:00;2021-11-24T06:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2021-11-22T15:00:00+01:00;2021-11-22T15:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.5;µg/m3;horaire;2021-11-22T12:00:00+01:00;2021-11-22T12:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.6;µg/m3;horaire;2021-11-21T15:00:00+01:00;2021-11-21T15:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.6;µg/m3;horaire;2021-11-22T11:00:00+01:00;2021-11-22T11:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.8;µg/m3;horaire;2021-11-23T15:00:00+01:00;2021-11-23T15:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.8;µg/m3;horaire;2021-11-24T08:00:00+01:00;2021-11-24T08:59:59+01:00;1;244500468
